input,threads,run,init_sec,compute_sec,max_occ,total_cost,validate
abundant_wires.txt,1,1,0.0171331420,40.3711403400,4,1560132,pass
abundant_wires.txt,2,1,0.0129737940,20.3758626520,4,1576504,pass
abundant_wires.txt,4,1,0.0132558860,10.2599771180,4,1576756,pass
abundant_wires.txt,8,1,0.0132096810,5.3652829870,4,1576934,pass
few_wires.txt,1,1,0.0042939090,4.6048578520,2,29246,pass
few_wires.txt,2,1,0.0044478760,2.3556186600,2,29244,pass
few_wires.txt,4,1,0.0043884380,1.2044045430,2,29248,pass
few_wires.txt,8,1,0.0041672520,0.5623525850,2,29244,pass
medium_wires.txt,1,1,0.0056985520,15.3245029220,2,268219,pass
medium_wires.txt,2,1,0.0056733590,7.8479498910,3,269107,pass
medium_wires.txt,4,1,0.0056875210,3.9252607440,3,268605,pass
medium_wires.txt,8,1,0.0056160250,1.9949179570,3,268955,pass
