input,threads,run,init_sec,compute_sec,max_occ,total_cost,validate
abundant_wires.txt,1,1,0.0317317460,25.8820531000,4,1539996,pass
abundant_wires.txt,2,1,0.0133980190,13.4976890680,4,1540016,pass
abundant_wires.txt,4,1,0.0134716160,7.3568122800,5,1543702,pass
abundant_wires.txt,8,1,0.0135324810,4.3089561560,4,1540676,pass
few_wires.txt,1,1,0.0051433170,3.1712138250,2,29244,pass
few_wires.txt,2,1,0.0042581630,1.5692257310,2,29238,pass
few_wires.txt,4,1,0.0042454810,0.8314559150,2,29240,pass
few_wires.txt,8,1,0.0043152570,0.4797454260,2,29242,pass
medium_wires.txt,1,1,0.0071377160,10.8746319760,3,267761,pass
medium_wires.txt,2,1,0.0057753040,5.5695533490,3,267907,pass
medium_wires.txt,4,1,0.0056766150,3.0017271010,3,267725,pass
medium_wires.txt,8,1,0.0055818140,1.6988886670,3,268181,pass
